id;nombre;telefono;correo;direccion;descripcion;logos;logos_content_type;pagina_web
1;methodologies;e-services;program override red;payment efficient RSS;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Vietnam Mouse
2;SDD;Cheese Summit Saint Martin;Auto Loan Account;4th generation;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Principal Savings Account online
3;Music Savings Account;Ethiopian Birr architectures;Networked;Handcrafted Rubber Gloves;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;South Carolina
4;website Curve;Circles;disintermediate Walks Credit Card Account;payment;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;XSS solid state Handmade Granite Fish
5;Concrete;Planner;Health;Savings Account Rupiah;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;back up Tactics
6;Borders;PCI;Sports;24/365;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Frozen
7;magenta Turkish Lira;green Chicken Tasty;Metal Lead;Communications Generic Granite Gloves;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Accountability Assurance Auto Loan Account
8;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic;markets protocol Savings Account;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Shoes HDD
9;utilisation;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;Fundamental Designer;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Borders Intelligent whiteboard
10;Practical Steel Mouse;indexing;XSS;mindshare navigating Money Market Account;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;drive Analyst Awesome Fresh Hat
