id;titular_factura;tipo_persona;periodicidad_facturacion;maximo_monto
1;Pizza Fish next-generation;JURIDICA;QUINCENAL;88163
2;Accountability Burg SAS;JURIDICA;MENSUAL;112
3;Tennessee generate Adaptive;JURIDICA;TRIMESTRAL;11584
4;expedite;NATURAL;TRIMESTRAL;43224
5;copying benchmark Sausages;JURIDICA;QUINCENAL;16637
6;bypass hard drive Hollow;NATURAL;BIMESTRAL;99014
7;Yemeni Rial Shoals deposit;NATURAL;MENSUAL;37183
8;synthesizing Public-key;JURIDICA;TRIMESTRAL;94430
9;Practical GB;JURIDICA;TRIMESTRAL;77282
10;Profound Plastic XSS;NATURAL;MENSUAL;76009
